"AT_ID","DIVISION","YEAR","DEPARTURE_AIRPORT","STOPOVER_1","STOPOVER_2","ARRIVAL_AIRPORT","JOURNEY_TYPE","FLIGHT_CLASS","PASSENGER_TYPE","TRAVEL_REASON_1","TRAVEL_REASON_2","REMARKS","DISTANCE_KM","EMISSIONS_KGCO2EQ"
158,"HumanGeography",2017,"ARN","FRA ",,"DEN","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,18816,4419
159,"HumanGeography",2017,"ZRH",,,"KTM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,13760,3280
160,"HumanGeography",2017,"ZRH",,,"VNE","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,1798,423
161,"HumanGeography",2017,"MUC","DXB",,"CMB","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,"DXB angenommen",15898,3538
162,"HumanGeography",2017,"ZRH","AUH",,"CMB","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,16318,3325
163,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","ProfessorIn","Workshop",,"ohne Flughafenangabe für Niederlande, AMS angenommen",1304,288
164,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,1304,288
165,"GIScience",2017,"ZRH",,,"BRU","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,1066,251
166,"GIScience",2017,"ZRH",,,"BCN","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,1810,338
167,"GIScience",2017,"ZRH",,,"MEX","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Workshop",,,19474,5078
168,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1304,288
169,"GIScience",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,"LHR angenommen",1670,331
170,"GIScience",2017,"ZRH","HKG",,"AKL","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,"AKL angenommen",37080,9984
171,"GIScience",2017,"ZRH",,,"DRS","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Unbekannt",,,1214,410
172,"GIScience",2017,"ZRH",,,"DRS","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Unbekannt",,,1214,410
173,"GIScience",2017,"ZRH",,,"LUX","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,690,133
174,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,13438,2650
175,"GIScience",2017,"ZRH",,,"DUS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,988,210
176,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,1304,288
177,"GIScience",2017,"ZRH",,,"MAN","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,2108,440
178,"GIScience",2017,"ZRH",,,"TLL","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,3514,773
179,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,"ohne Flughafen für Niederlande, AMS angenommen",1304,288
180,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,13438,2650
181,"GIScience",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,"LHR angenommen",1670,331
182,"GIScience",2017,"ZRH",,,"GRZ","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Unbekannt",,,1146,266
183,"GIScience",2017,"ZRH",,,"YUL","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,12084,3027
184,"GIScience",2017,"ZRH",,,"TKS","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,"ohne Flughafenangabe für Japan, TKS angenommen",19068,4949
185,"GIScience",2017,"ZRH",,,"LUX","One-way","Economy","Doktorierende","Konferenz",,,690,133
186,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,1304,288
187,"GIScience",2017,"ZRH",,,"BCN","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1810,338
188,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,13438,2650
189,"GIScience",2017,"ZRH",,,"CPH","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,2022,422
190,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,13438,2650
191,"GIScience",2017,"ZRH",,,"ROM","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,1486,344
192,"GIScience",2017,"ZRH",,,"BOS","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,12112,3253
193,"GIScience",2017,"ZRH",,,"ROM","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,1486,344
194,"GIScience",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1304,288
195,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,13438,2650
196,"GIScience",2017,"ZRH",,,"TLS","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Prüfungsabnahme",,,1504,349
197,"GIScience",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,"LHR angenommen",1670,331
198,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,13438,2650
199,"GIScience",2017,"ZRH",,,"ROM","Hin- und Rückflug","Economy","Doktorierende","konferenz",,,1486,344
200,"GIScience",2017,"ZRH",,,"IAD","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,13438,2650
201,"GIScience",2017,"ZRH",,,"NYC","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,"NYC angenommen",12736,2986
202,"RemoteSensing",2017,"ZRH","FRA",,"THR","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,8312,1677
203,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektaquisition/Fundraising",,,1484,285
204,"RemoteSensing",2017,"ZRH",,,"TXL","Hin- und Rückflug","Economy","ProfessorIn","Workshop",,,1420,283
205,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","ProfessorIn","Projektaquisition/Fundraising",,,1484,285
206,"RemoteSensing",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1670,331
207,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Projektaquisition/Fundraising",,,1484,285
208,"RemoteSensing",2017,"HEL","ARN",,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,3970,846
209,"RemoteSensing",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1304,288
210,"RemoteSensing",2017,"ZRH",,,"DUS","Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,988,210
211,"RemoteSensing",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","ProfessorIn","Projektaquisition/Fundraising",,,1304,288
212,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,1484,285
213,"RemoteSensing",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1304,288
214,"RemoteSensing",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1304,288
215,"RemoteSensing",2017,"ZRH",,,"TXL","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,1420,283
216,"RemoteSensing",2017,"ZRH",,,"PDX","Hin- und Rückflug","Economy","Doktorierende","Konferenz",,,17376,4415
217,"RemoteSensing",2017,"ZRH",,,"AMS","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,652,144
218,"RemoteSensing",2017,"AMS",,,"BSL","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,610,181
219,"RemoteSensing",2017,"ZRH",,,"AMS","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,652,144
220,"RemoteSensing",2017,"AMS",,,"BSL","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,610,181
221,"RemoteSensing",2017,"NAP",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1822,320
222,"RemoteSensing",2017,"DCA",,,"ATL","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,929,193
223,"RemoteSensing",2017,"ATL",,,"CDG","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,7101,1478
224,"RemoteSensing",2017,"CDG",,,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,525,129
225,"RemoteSensing",2017,"AMS",,,"IAD","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,6254,1255
226,"RemoteSensing",2017,"TOS",,,"OSL","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1165,237
227,"RemoteSensing",2017,"OSL",,,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1474,319
228,"RemoteSensing",2017,"ZRH",,,"OSL","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1474,319
229,"RemoteSensing",2017,"OSL",,,"TOS","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1165,237
230,"RemoteSensing",2017,"TLS",,,"GVA","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1046,243
231,"RemoteSensing",2017,"AMS",,,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1304,288
232,"RemoteSensing",2017,"AMS",,,"ZRH","Hin- und Rückflug","Economy","ProfessorIn","Weiteres",,,1304,288
233,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1484,285
234,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1484,285
235,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1484,285
236,"RemoteSensing",2017,"ZRH","MAD",,"MDE","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,9363,2080
237,"RemoteSensing",2017,"PTY","MAD",,"EAP","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,9442,2382
238,"RemoteSensing",2017,"ZRH",,,"CGN","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,443,97
239,"RemoteSensing",2017,"AMS",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,652,144
240,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1484,285
241,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1484,285
242,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1484,285
243,"RemoteSensing",2017,"ZRH",,,"YUL","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,12084,3027
244,"RemoteSensing",2017,"YUL",,,"YYZ","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,555,109
245,"RemoteSensing",2017,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1304,288
246,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1484,285
247,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1484,285
248,"RemoteSensing",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1670,331
249,"RemoteSensing",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Doktorierende","Projektmeeting",,,1670,331
250,"RemoteSensing",2017,"ZRH",,,"FCO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Workshop",,,1484,285
251,"RemoteSensing",2017,"ZRH",,,"LHR","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,1670,331
252,"RemoteSensing",2017,"ZRH",,,"SFO","One-way","Economy","Doktorierende","Feldarbeit/Exkursion",,,9421,2717
253,"RemoteSensing",2017,"YYZ",,,"ZRH","One-way","Economy","Doktorierende","Feldarbeit/Exkursion",,,6536,1455
254,"RemoteSensing",2017,"ZRH","JFK","DFW","EWR","One-way","Economy","Doktorierende","Konferenz",,,10892,2481
255,"RemoteSensing",2017,"EWR","DUB",,"AMS","One-way","Economy","Doktorierende","Konferenz",,,5973,1118
256,"RemoteSensing",2017,"EWR","DEF",,"AMS","One-way","Economy","Doktorierende","Konferenz",,,14221,3503
257,"RemoteSensing",2017,"ZRH","DXB",,"DEL","One-way","Economy","Doktorierende","Konferenz",,,7047,1613
258,"RemoteSensing",2017,"DEL","DOH",,"DFW","One-way","Economy","Doktorierende","Konferenz",,,15410,4259
259,"RemoteSensing",2017,"DFW",,,"EWR","One-way","Economy","Doktorierende","Konferenz",,,2253,514
260,"RemoteSensing",2017,"NTE","CDG",,"ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,1888,416
261,"RemoteSensing",2017,"CGN",,,"ZRH","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Lehrveranstaltungen (z.B. Summer School, Kolloquium, Einzelvortrag)",,,443,97
262,"RemoteSensing",2017,"ZHR",,,"AMS","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,1304,288
263,"PhysicalGeography",2019,"ZRH",,,"LTN","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,858,201
264,"PhysicalGeography",2019,"ZRH",,,"SFO","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,18842,5434
265,"PhysicalGeography",2019,"ZRH",,,"SFO","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Konferenz",,,9421,2717
266,"PhysicalGeography",2019,"LAX",,,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Projektmeeting",,,9579,2747
267,"PhysicalGeography",2019,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,1304,288
268,"PhysicalGeography",2019,"ZRH",,,"AMS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Konferenz",,,1304,288
269,"PhysicalGeography",2019,"ZRH",,,"DUS","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Weiteres",,,988,210
270,"PhysicalGeography",2019,"ZRH","LHR","YVR","YZF","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,20158,5035
271,"PhysicalGeography",2019,"ZRH","LHR","YVR","YZF","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,20158,5035
272,"PhysicalGeography",2019,"ZRH","GOT",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,2430,559
273,"PhysicalGeography",2019,"ZRH","GOT",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Projektmeeting",,,2430,559
274,"PhysicalGeography",2019,"ZRH","GOT",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Projektmeeting",,,2430,559
275,"PhysicalGeography",2019,"ZRH","MCT",,"BLR","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,15164,3207
276,"PhysicalGeography",2019,"ZRH","BOM",,"BLR","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,14958,3586
277,"PhysicalGeography",2019,"ZRH","ARN",,,"Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,3074,646
278,"PhysicalGeography",2019,"HAM","UME",,,"One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,8087,2018
279,"PhysicalGeography",2019,"UME","ARN",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,1050,248
280,"PhysicalGeography",2019,"ZRH","BHX",,,"Hin- und Rückflug","Economy","ProfessorIn","Konferenz",,,1938,517
281,"PhysicalGeography",2019,"ZRH","ARN",,,"Hin- und Rückflug","Economy","ProfessorIn","Feldarbeit/Exkursion",,,3074,646
282,"PhysicalGeography",2019,"ZRH","ARN",,,"Hin- und Rückflug","Economy","ProfessorIn","Feldarbeit/Exkursion",,,3074,646
283,"PhysicalGeography",2019,"LHR","ARN",,,"One-way","Economy","ProfessorIn","Konferenz",,,1511,322
284,"PhysicalGeography",2019,"ARN","ZRH",,,"One-way","Economy","ProfessorIn","Projektmeeting",,,1537,323
285,"PhysicalGeography",2019,"ZRH","OSL",,,"Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,2948,638
286,"PhysicalGeography",2019,"GVA","CDG",,"EDI","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Weiteres",,,1374,384
287,"PhysicalGeography",2019,"EDI","BER",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Weiteres",,,1904,440
288,"PhysicalGeography",2019,"SUF","ZRH",,,"Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Prüfungsabnahme",,,2370,403
289,"PhysicalGeography",2019,"ZRH","YMQ",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,12150,2818
290,"PhysicalGeography",2019,"ZRH","IST",,"FRU","Hin- und Rückflug","Economy","ProfessorIn","Projektmeeting",,,11182,2134
291,"PhysicalGeography",2019,"ZRH","IST",,"ALA","Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,11576,2216
292,"PhysicalGeography",2019,"ZRH","FRA",,"EZE","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,11879,3150
293,"PhysicalGeography",2019,"SCL","FRA",,"ZRH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,12507,3549
294,"PhysicalGeography",2019,"EZE","FTE",,,"One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Projektmeeting",,,2086,422
295,"PhysicalGeography",2019,"DEN","ORD",,"VIE","One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz","Projektmeeting",,9077,2163
296,"PhysicalGeography",2019,"ZRH","DEN",,,"One-way","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz","Projektmeeting",,8361,2104
297,"PhysicalGeography",2019,"WLG","AKL","DXB","ALA","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,35316,10018
298,"PhysicalGeography",2019,"HYD","BOM","IST","ZRH","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Weiteres",,,14698,3130
299,"PhysicalGeography",2019,"MAD","DOH",,"KTM","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Feldarbeit/Exkursion",,,17572,3958
300,"PhysicalGeography",2019,"ZRH","IST",,"FRU","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz","Projektmeeting",,11182,2134
301,"PhysicalGeography",2019,"KTM","DOH",,"VIE","Hin- und Rückflug","Economy","Nicht an der UZH angestellte Person (z.B. Gast, externe Doktorierende)","Konferenz",,,14852,2931
302,"PhysicalGeography",2019,"ZRH","OSL",,,"Hin- und Rückflug","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Konferenz",,,2948,638
303,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,4469,922
304,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
305,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
306,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
307,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,4469,922
308,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,4469,922
309,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,4469,922
310,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
311,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
312,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
313,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
314,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
315,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
316,"PhysicalGeography",2019,"ZRH","CPH",,"JAV","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,4469,922
317,"PhysicalGeography",2019,"JAV","SFJ",,"CPH","One-way","Economy","ProfessorIn","Feldarbeit/Exkursion",,,3771,761
318,"PhysicalGeography",2019,"JAV","SFJ",,"CPH","One-way","Economy","Sonstige am Institut beschäftigte Person mit Doktortitel","Feldarbeit/Exkursion",,,3771,761
319,"PhysicalGeography",2019,"JAV","SFJ",,"CPH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,3771,761
320,"PhysicalGeography",2019,"JAV","SFJ",,"CPH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,3771,761
321,"PhysicalGeography",2019,"JAV","SFJ",,"CPH","One-way","Economy","Sonstige am Institut beschäftigte Person ohne Doktortitel (ohne Doktorierende)","Feldarbeit/Exkursion",,,3771,761
